JrId_pubmed,JournalTitle_pubmed,ISSN_Print_pubmed,Sourceid_SM,Title_SM,ISSN_SM,Type_SM,Subject_Category_SM,Matched_ISSN
39943,Journal of child and adolescent mental health,1728-0583,200147135,journal of child and adolescent mental health,"17280591, 17280583",journal,Developmental_and_Educational_Psychology,True
39943,Journal of child and adolescent mental health,1728-0583,200147135,journal of child and adolescent mental health,"17280591, 17280583",journal,Developmental_and_Educational_Psychology,True
40027,Journal of constructivist psychology,1072-0537,15436,journal of constructivist psychology,"15210650, 10720537",journal,Social_Psychology,True
40027,Journal of constructivist psychology,1072-0537,15436,journal of constructivist psychology,"15210650, 10720537",journal,Social_Psychology,True
40072,Intervention in school and clinic,1053-4512,22109,intervention in school and clinic,"10534512, 15384810",journal,Developmental_and_Educational_Psychology,True
40072,Intervention in school and clinic,1053-4512,22109,intervention in school and clinic,"10534512, 15384810",journal,Developmental_and_Educational_Psychology,True
40203,Psychology and sexuality,1941-9899,19700187621,psychology and sexuality,"19419902, 19419899",journal,Social_Psychology,True
40203,Psychology and sexuality,1941-9899,19700187621,psychology and sexuality,"19419902, 19419899",journal,Social_Psychology,True
40276,Applied neuropsychology. Adult,2327-9095,21100829244,applied neuropsychology. adult,"23279095, 23279109",journal,Developmental_and_Educational_Psychology,True
40276,Applied neuropsychology. Adult,2327-9095,21100829244,applied neuropsychology. adult,"23279095, 23279109",journal,Developmental_and_Educational_Psychology,True
40345,Journal of employment counseling,0022-0787,15457,journal of employment counseling,"21611920, 00220787",journal,Psychology_(miscellaneous),True
40345,Journal of employment counseling,0022-0787,15457,journal of employment counseling,"21611920, 00220787",journal,Psychology_(miscellaneous),True
41198,Rivista di psicolinguistica applicata,1592-1328,21101060914,rivista di psicolinguistica applicata,"17240646, 15921328",journal,Social_Psychology,True
41198,Rivista di psicolinguistica applicata,1592-1328,21101060914,rivista di psicolinguistica applicata,"17240646, 15921328",journal,Social_Psychology,True
41316,Journal for social action in counseling and psychology,,21100855411,journal for social action in counseling and psychology,21598142,journal,Social_Psychology,False
41316,Journal for social action in counseling and psychology,,21100855411,journal for social action in counseling and psychology,21598142,journal,Social_Psychology,False
41329,Clinical practice in pediatric psychology,2169-4826,21100824878,clinical practice in pediatric psychology,"21694826, 21694834",journal,Developmental_and_Educational_Psychology,True
41329,Clinical practice in pediatric psychology,2169-4826,21100824878,clinical practice in pediatric psychology,"21694826, 21694834",journal,Developmental_and_Educational_Psychology,True
41329,Clinical practice in pediatric psychology,2169-4826,21100824878,clinical practice in pediatric psychology,"21694826, 21694834",journal,Developmental_and_Educational_Psychology,True
41763,Journal of sport psychology in action,2152-0704,21100330714,journal of sport psychology in action,"21520712, 21520704",journal,Social_Psychology,True
41763,Journal of sport psychology in action,2152-0704,21100330714,journal of sport psychology in action,"21520712, 21520704",journal,Social_Psychology,True
41958,"Emotion, space and society",1755-4586,17500155125,"emotion, space and society","17554586, 18780040",journal,Social_Psychology,True
41958,"Emotion, space and society",1755-4586,17500155125,"emotion, space and society","17554586, 18780040",journal,Social_Psychology,True
42011,Journal of career assessment,1069-0727,15398,journal of career assessment,"10690727, 15524590",journal,Psychology_(miscellaneous),True
42011,Journal of career assessment,1069-0727,15398,journal of career assessment,"10690727, 15524590",journal,Psychology_(miscellaneous),True
42092,Research in organizational behavior,0191-3085,14130,research in organizational behavior,01913085,journal,Social_Psychology,True
42092,Research in organizational behavior,0191-3085,14130,research in organizational behavior,01913085,journal,Social_Psychology,True
42276,"Psychology of aesthetics, creativity, and the arts",1931-3896,19500156812,"psychology of aesthetics, creativity, and the arts","1931390X, 19313896",journal,Developmental_and_Educational_Psychology,True
42276,"Psychology of aesthetics, creativity, and the arts",1931-3896,19500156812,"psychology of aesthetics, creativity, and the arts","1931390X, 19313896",journal,Developmental_and_Educational_Psychology,True
42637,Health psychology research,,21100927406,health psychology research,24208124,journal,Social_Psychology,False
42637,Health psychology research,,21100927406,health psychology research,24208124,journal,Social_Psychology,False
42728,Subjectivity,1755-6341,19900188288,subjectivity,"17556341, 1755635X",journal,Social_Psychology,True
42728,Subjectivity,1755-6341,19900188288,subjectivity,"17556341, 1755635X",journal,Social_Psychology,True
42804,Journal of Intelligence,,21100934557,journal of intelligence,20793200,journal,Developmental_and_Educational_Psychology,False
42804,Journal of Intelligence,,21100934557,journal of intelligence,20793200,journal,Developmental_and_Educational_Psychology,False
43221,Translational issues in psychological science,2332-2136,21101089656,translational issues in psychological science,"23322136, 23322179",journal,Psychology_(miscellaneous),True
43221,Translational issues in psychological science,2332-2136,21101089656,translational issues in psychological science,"23322136, 23322179",journal,Psychology_(miscellaneous),True
43735,Behavioral disorders,0198-7429,21996,behavioral disorders,01987429,journal,Developmental_and_Educational_Psychology,True
43735,Behavioral disorders,0198-7429,21996,behavioral disorders,01987429,journal,Developmental_and_Educational_Psychology,True
43888,Journal of criminal psychology,2009-3829,21100370349,journal of criminal psychology,20093829,journal,Social_Psychology,True
43888,Journal of criminal psychology,2009-3829,21100370349,journal of criminal psychology,20093829,journal,Social_Psychology,True
43907,Journal of media psychology,1864-1105,17700156742,journal of media psychology,"18641105, 21512388",journal,Social_Psychology,True
43907,Journal of media psychology,1864-1105,17700156742,journal of media psychology,"18641105, 21512388",journal,Social_Psychology,True
43910,Motivation science,2333-8113,21101017693,motivation science,"23338113, 23338121",journal,Developmental_and_Educational_Psychology,True
43910,Motivation science,2333-8113,21101017693,motivation science,"23338113, 23338121",journal,Developmental_and_Educational_Psychology,True
44009,Australian journal of learning difficulties,1940-4158,19800188058,australian journal of learning difficulties,"19404158, 19404166",journal,Social_Psychology,True
44009,Australian journal of learning difficulties,1940-4158,19800188058,australian journal of learning difficulties,"19404158, 19404166",journal,Social_Psychology,True
44279,Journal of spirituality in mental health,1934-9637,11200153529,journal of spirituality in mental health,"19349645, 19349637",journal,Social_Psychology,True
44279,Journal of spirituality in mental health,1934-9637,11200153529,journal of spirituality in mental health,"19349645, 19349637",journal,Social_Psychology,True
44297,Journal of educational measurement,0022-0655,66374,journal of educational measurement,00220655,journal,Developmental_and_Educational_Psychology,True
44297,Journal of educational measurement,0022-0655,66374,journal of educational measurement,00220655,journal,Developmental_and_Educational_Psychology,True
44297,Journal of educational measurement,0022-0655,66374,journal of educational measurement,00220655,journal,Developmental_and_Educational_Psychology,True
44299,International journal of sport and exercise psychology,1612-197X,15600154711,international journal of sport and exercise psychology,"1557251X, 1612197X",journal,Social_Psychology,True
44299,International journal of sport and exercise psychology,1612-197X,15600154711,international journal of sport and exercise psychology,"1557251X, 1612197X",journal,Social_Psychology,True
44317,Educational psychology,0144-3410,14271,educational psychology,"14695820, 01443410",journal,Developmental_and_Educational_Psychology,True
44317,Educational psychology,0144-3410,14271,educational psychology,"14695820, 01443410",journal,Developmental_and_Educational_Psychology,True
44391,"Sport, exercise, and performance psychology",2157-3905,21100413715,"sport, exercise, and performance psychology","21573913, 21573905",journal,Social_Psychology,True
44391,"Sport, exercise, and performance psychology",2157-3905,21100413715,"sport, exercise, and performance psychology","21573913, 21573905",journal,Social_Psychology,True
44714,Journal for person-oriented research,2002-0244,21100933316,journal for person-oriented research,"20030177, 20020244",journal,Psychology_(miscellaneous),True
44714,Journal for person-oriented research,2002-0244,21100933316,journal for person-oriented research,"20030177, 20020244",journal,Psychology_(miscellaneous),True
44718,Stigma and health,2376-6972,21101042149,stigma and health,"23766964, 23766972",journal,Social_Psychology,True
44718,Stigma and health,2376-6972,21101042149,stigma and health,"23766964, 23766972",journal,Social_Psychology,True
45043,Neuroscience of consciousness,,21100915393,neuroscience of consciousness,20572107,journal,Clinical_Psychology,False
45043,Neuroscience of consciousness,,21100915393,neuroscience of consciousness,20572107,journal,Clinical_Psychology,False
45175,Human performance,0895-9285,14788,human performance,"08959285, 15327043",journal,Psychology_(miscellaneous),True
45175,Human performance,0895-9285,14788,human performance,"08959285, 15327043",journal,Psychology_(miscellaneous),True
45297,NeuroRegulation,,21100854898,neuroregulation,23730587,journal,Neuropsychology_and_Physiological_Psychology,False
45297,NeuroRegulation,,21100854898,neuroregulation,23730587,journal,Neuropsychology_and_Physiological_Psychology,False
45297,NeuroRegulation,,21100854898,neuroregulation,23730587,journal,Neuropsychology_and_Physiological_Psychology,False
45632,Memory studies,1750-6980,11200153508,memory studies,"17506999, 17506980",journal,Social_Psychology,True
45632,Memory studies,1750-6980,11200153508,memory studies,"17506999, 17506980",journal,Social_Psychology,True
45753,Small group research,1046-4964,14818,small group research,"15528278, 10464964",journal,Social_Psychology,True
45753,Small group research,1046-4964,14818,small group research,"15528278, 10464964",journal,Social_Psychology,True
45934,Evolutionary behavioral sciences,2330-2925,21100451649,evolutionary behavioral sciences,"23302933, 23302925",journal,Social_Psychology,True
45934,Evolutionary behavioral sciences,2330-2925,21100451649,evolutionary behavioral sciences,"23302933, 23302925",journal,Social_Psychology,True
46015,Nature human behaviour,,21100838541,nature human behaviour,23973374,journal,Social_Psychology,False
46015,Nature human behaviour,,21100838541,nature human behaviour,23973374,journal,Social_Psychology,False
46818,Rivista internazionale di filosofia e psicologia,2039-4667,21100923615,rivista internazionale di filosofia e psicologia,"20394667, 22392629",journal,Social_Psychology,True
46818,Rivista internazionale di filosofia e psicologia,2039-4667,21100923615,rivista internazionale di filosofia e psicologia,"20394667, 22392629",journal,Social_Psychology,True
46855,Consulting psychology journal,1065-9293,70451,consulting psychology journal,10659293,journal,Developmental_and_Educational_Psychology,True
46855,Consulting psychology journal,1065-9293,70451,consulting psychology journal,10659293,journal,Developmental_and_Educational_Psychology,True
46855,Consulting psychology journal,1065-9293,70451,consulting psychology journal,10659293,journal,Developmental_and_Educational_Psychology,True
47014,Counselling and psychotherapy research,1473-3145,18000156703,counselling and psychotherapy research,"14733145, 17461405",journal,Clinical_Psychology,True
47014,Counselling and psychotherapy research,1473-3145,18000156703,counselling and psychotherapy research,"14733145, 17461405",journal,Clinical_Psychology,True
47385,Journal of psychedelic studies,,21101043232,journal of psychedelic studies,25599283,journal,Social_Psychology,False
47385,Journal of psychedelic studies,,21101043232,journal of psychedelic studies,25599283,journal,Social_Psychology,False
47706,Behavioural public policy,2398-063X,21101095132,behavioural public policy,"23980648, 2398063X",journal,Social_Psychology,True
47706,Behavioural public policy,2398-063X,21101095132,behavioural public policy,"23980648, 2398063X",journal,Social_Psychology,True
47847,Journal of applied school psychology,1537-7903,4700152737,journal of applied school psychology,"15377903, 15377911",journal,Developmental_and_Educational_Psychology,True
47847,Journal of applied school psychology,1537-7903,4700152737,journal of applied school psychology,"15377903, 15377911",journal,Developmental_and_Educational_Psychology,True
47874,Cognitive behaviour therapist,,21100872040,cognitive behaviour therapist,1754470X,journal,Clinical_Psychology,False
47874,Cognitive behaviour therapist,,21100872040,cognitive behaviour therapist,1754470X,journal,Clinical_Psychology,False
48020,"Mind, culture, and activity",1074-9039,5700152857,"mind, culture, and activity","10749039, 15327884",journal,Social_Psychology,True
48020,"Mind, culture, and activity",1074-9039,5700152857,"mind, culture, and activity","10749039, 15327884",journal,Social_Psychology,True
48040,Journal of evidence-based psychotherapies,,21100396385,journal of evidence-based psychotherapies,23600853,journal,Clinical_Psychology,False
48040,Journal of evidence-based psychotherapies,,21100396385,journal of evidence-based psychotherapies,23600853,journal,Clinical_Psychology,False
48150,Journal of relationships research,,21100793836,journal of relationships research,18380956,journal,Social_Psychology,False
48150,Journal of relationships research,,21100793836,journal of relationships research,18380956,journal,Social_Psychology,False
48443,Perspectives on behavior science,2520-8969,21100870687,perspectives on behavior science,"25208969, 25208977",journal,Social_Psychology,True
48443,Perspectives on behavior science,2520-8969,21100870687,perspectives on behavior science,"25208969, 25208977",journal,Social_Psychology,True
48443,Perspectives on behavior science,2520-8969,21100870687,perspectives on behavior science,"25208969, 25208977",journal,Social_Psychology,True
48484,Journal of psychologists and counsellors in schools,2055-6365,21100818942,journal of psychologists and counsellors in schools,"20556365, 20556373",journal,Social_Psychology,True
48484,Journal of psychologists and counsellors in schools,2055-6365,21100818942,journal of psychologists and counsellors in schools,"20556365, 20556373",journal,Social_Psychology,True
48802,"European journal of investigation in health, psychology and education",2174-8144,21101042487,"european journal of investigation in health, psychology and education","21748144, 22549625",journal,Developmental_and_Educational_Psychology,True
48802,"European journal of investigation in health, psychology and education",2174-8144,21101042487,"european journal of investigation in health, psychology and education","21748144, 22549625",journal,Developmental_and_Educational_Psychology,True
48802,"European journal of investigation in health, psychology and education",2174-8144,21101042487,"european journal of investigation in health, psychology and education","21748144, 22549625",journal,Developmental_and_Educational_Psychology,True
48923,Ecopsychology,,21100228016,ecopsychology,19429347,journal,Social_Psychology,False
48923,Ecopsychology,,21100228016,ecopsychology,19429347,journal,Social_Psychology,False
49029,Psicologia Educativa,1135-755X,21100378341,psicologia educativa,"1135755X, 21740526",journal,Social_Psychology,True
49029,Psicologia Educativa,1135-755X,21100378341,psicologia educativa,"1135755X, 21740526",journal,Social_Psychology,True
49335,Zeitschrift fur sportpsychologie,1612-5010,18300156721,zeitschrift fur sportpsychologie,"21906300, 16125010",journal,Social_Psychology,True
49335,Zeitschrift fur sportpsychologie,1612-5010,18300156721,zeitschrift fur sportpsychologie,"21906300, 16125010",journal,Social_Psychology,True
49566,Affective science,2662-2041,21101150129,affective science,"2662205X, 26622041",journal,Social_Psychology,True
49566,Affective science,2662-2041,21101150129,affective science,"2662205X, 26622041",journal,Social_Psychology,True
49566,Affective science,2662-2041,21101150129,affective science,"2662205X, 26622041",journal,Social_Psychology,True
49625,Journal of behavioral and cognitive therapy,2666-3473,21101041510,journal of behavioral and cognitive therapy,25899791,journal,Clinical_Psychology,False
49625,Journal of behavioral and cognitive therapy,2666-3473,21101041510,journal of behavioral and cognitive therapy,25899791,journal,Clinical_Psychology,False
49685,Adversity and resilience science,2662-2424,21101151822,adversity and resilience science,"26622416, 26622424",journal,Developmental_and_Educational_Psychology,True
49685,Adversity and resilience science,2662-2424,21101151822,adversity and resilience science,"26622416, 26622424",journal,Developmental_and_Educational_Psychology,True
49685,Adversity and resilience science,2662-2424,21101151822,adversity and resilience science,"26622416, 26622424",journal,Developmental_and_Educational_Psychology,True
51263,Psychoradiology,,21101170600,psychoradiology,26344416,journal,Psychology_(miscellaneous),False
51263,Psychoradiology,,21101170600,psychoradiology,26344416,journal,Psychology_(miscellaneous),False
51315,International journal of selection and assessment,0965-075X,24842,international journal of selection and assessment,"14682389, 0965075X",journal,Psychology_(miscellaneous),True
51315,International journal of selection and assessment,0965-075X,24842,international journal of selection and assessment,"14682389, 0965075X",journal,Psychology_(miscellaneous),True
51349,Current research in ecological and social psychology,,21101136809,current research in ecological and social psychology,26666227,journal,Social_Psychology,False
51349,Current research in ecological and social psychology,,21101136809,current research in ecological and social psychology,26666227,journal,Social_Psychology,False
51419,Journal of psychopathology and clinical science,2769-7541,21101170038,journal of psychopathology and clinical science,"2769755X, 27697541",journal,Psychology_(miscellaneous),True
51419,Journal of psychopathology and clinical science,2769-7541,21101170038,journal of psychopathology and clinical science,"2769755X, 27697541",journal,Psychology_(miscellaneous),True
51614,Nature reviews psychology,,21101159371,nature reviews psychology,27310574,journal,Developmental_and_Educational_Psychology,False
51614,Nature reviews psychology,,21101159371,nature reviews psychology,27310574,journal,Developmental_and_Educational_Psychology,False
51614,Nature reviews psychology,,21101159371,nature reviews psychology,27310574,journal,Developmental_and_Educational_Psychology,False
52129,Organizational psychology review,2041-3866,21100405117,organizational psychology review,"20413866, 20413874",journal,Social_Psychology,True
52129,Organizational psychology review,2041-3866,21100405117,organizational psychology review,"20413866, 20413874",journal,Social_Psychology,True
52234,Journal of consumer behaviour,1472-0817,17700156733,journal of consumer behaviour,"14791838, 14720817",journal,Social_Psychology,True
52234,Journal of consumer behaviour,1472-0817,17700156733,journal of consumer behaviour,"14791838, 14720817",journal,Social_Psychology,True
52371,Journal of social and political psychology,,21100812569,journal of social and political psychology,21953325,journal,Social_Psychology,False
52371,Journal of social and political psychology,,21100812569,journal of social and political psychology,21953325,journal,Social_Psychology,False
52675,Psychosocial intervention,,21100378340,psychosocial intervention,"11320559, 21734712",journal,Social_Psychology,False
52675,Psychosocial intervention,,21100378340,psychosocial intervention,"11320559, 21734712",journal,Social_Psychology,False
52675,Psychosocial intervention,,21100378340,psychosocial intervention,"11320559, 21734712",journal,Social_Psychology,False
53111,Continuity in education,,21101077107,continuity in education,26319179,journal,Social_Psychology,False
53111,Continuity in education,,21101077107,continuity in education,26319179,journal,Social_Psychology,False
53373,Psychology of language and communication,1234-2238,18300156724,psychology of language and communication,12342238,journal,Developmental_and_Educational_Psychology,True
53373,Psychology of language and communication,1234-2238,18300156724,psychology of language and communication,12342238,journal,Developmental_and_Educational_Psychology,True
