Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
91;21101100209;"Social Psychological Bulletin";journal;"2569653X, 18961800";0,940;Q2;13;18;50;924;130;46;1,55;51,33;Germany;Western Europe;"PsychOpen";"2018-2023";"Applied Psychology (Q2); Social Psychology (Q2)";"Psychology"
92;58705;"Psychology, Health and Medicine";journal;"13548506, 14653966";0,938;Q2;76;300;491;11321;1804;490;4,00;37,74;United Kingdom;Western Europe;"Routledge";"1996-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
93;19500156812;"Psychology of Aesthetics, Creativity, and the Arts";journal;"1931390X, 19313896";0,928;Q2;75;83;275;6311;994;268;3,14;76,04;United States;Northern America;"American Psychological Association";"2007-2023";"Visual Arts and Performing Arts (Q1); Applied Psychology (Q2); Developmental and Educational Psychology (Q2)";"Arts and Humanities; Psychology"
94;5300152209;"Psychological Services";journal;"15411559";0,926;Q2;57;68;376;2927;860;373;2,10;43,04;United States;Northern America;"American Psychological Association";"2004-2023";"Applied Psychology (Q2); Clinical Psychology (Q2)";"Psychology"
95;19700187621;"Psychology and Sexuality";journal;"19419902, 19419899";0,918;Q2;36;65;149;4232;528;145;3,47;65,11;United Kingdom;Western Europe;"Routledge";"2010-2023";"Gender Studies (Q1); Health (social science) (Q1); Applied Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
96;14000155911;"International Gambling Studies";journal;"14794276, 14459795";0,916;Q2;43;42;104;2278;330;99;3,09;54,24;United Kingdom;Western Europe;"Routledge";"2010-2023";"Applied Psychology (Q2)";"Psychology"
97;15451;"Journal of Counseling and Development";journal;"15566676, 07489633";0,912;Q2;89;39;122;2268;454;122;3,28;58,15;United States;Northern America;"Wiley-Blackwell";"1984-2023";"Applied Psychology (Q2)";"Psychology"
98;21101019704;"Evolutionary Human Sciences";journal;"2513843X";0,897;Q2;14;31;145;2351;335;140;2,23;75,84;United States;Northern America;"Cambridge University Press";"2019-2023";"Anthropology (Q1); Cultural Studies (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Applied Psychology (Q2)";"Agricultural and Biological Sciences; Psychology; Social Sciences"
99;21100945714;"Methods, Data, Analyses";journal;"21904936, 18646956";0,873;Q2;8;12;25;639;52;25;1,90;53,25;Germany;Western Europe;"GESIS - Leibniz Institute for the Social Sciences";"2019-2023";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Applied Psychology (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics; Psychology"
100;18011;"Neuropsychological Rehabilitation";journal;"14640694, 09602011";0,857;Q2;86;111;286;6713;890;281;2,64;60,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2023";"Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Rehabilitation (Q1); Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)";"Arts and Humanities; Medicine; Psychology"
101;20300195073;"Journal of Applied Research in Memory and Cognition";journal;"22113681";0,854;Q2;49;51;240;2554;636;189;2,24;50,08;United States;Northern America;"Society for Applied Research in Memory and Cognition";"2012-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
102;14246;"Group Dynamics";journal;"10892699, 19307802";0,809;Q2;75;10;74;756;266;73;2,50;75,60;United States;Northern America;"American Psychological Association";"1997-2023";"Applied Psychology (Q2); Social Psychology (Q2)";"Psychology"
103;14065;"Measurement and Evaluation in Counseling and Development";journal;"07481756, 19476302";0,796;Q2;57;30;57;1543;129;57;2,76;51,43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2023";"Education (Q1); Applied Psychology (Q2); Developmental and Educational Psychology (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
104;23940;"Journal of Mathematical Behavior";journal;"07323123";0,787;Q2;58;53;174;2869;311;173;1,33;54,13;United States;Northern America;"Elsevier Inc.";"1994-2023";"Education (Q1); Applied Mathematics (Q2); Applied Psychology (Q2)";"Mathematics; Psychology; Social Sciences"
105;23064;"Scandinavian Journal of Management";journal;"09565221, 18733387";0,772;Q2;69;27;77;2024;218;68;2,54;74,96;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2023";"Applied Psychology (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Psychology"
106;19700175255;"Journal of Personnel Psychology";journal;"18665888, 21905150";0,771;Q2;37;33;61;1567;149;61;2,33;47,48;United States;Northern America;"Hogrefe Publishing";"2010-2023";"Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Psychology"
107;66374;"Journal of Educational Measurement";journal;"00220655";0,755;Q2;60;30;86;1192;100;72;1,29;39,73;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2023";"Education (Q1); Applied Psychology (Q2); Developmental and Educational Psychology (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
108;21100922747;"Journal of Developmental and Life-Course Criminology";journal;"21994641, 2199465X";0,750;Q2;21;33;85;2316;198;79;2,03;70,18;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Law (Q1); Applied Psychology (Q2); Life-span and Life-course Studies (Q2)";"Psychology; Social Sciences"
109;21100812569;"Journal of Social and Political Psychology";journal;"21953325";0,741;Q2;33;39;121;2359;245;114;1,71;60,49;Germany;Western Europe;"PsychOpen";"2013-2023";"Sociology and Political Science (Q1); Applied Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
110;12042;"Legal and Criminological Psychology";journal;"13553259, 20448333";0,727;Q2;63;24;54;1102;122;46;2,33;45,92;United States;Northern America;"Wiley-Blackwell";"1996-2023";"Pathology and Forensic Medicine (Q1); Applied Psychology (Q2)";"Medicine; Psychology"
111;12088;"Basic and Applied Social Psychology";journal;"01973533, 15324834";0,709;Q2;81;14;61;739;186;60;2,70;52,79;United States;Northern America;"Routledge";"1980-2023";"Applied Psychology (Q2); Social Psychology (Q2)";"Psychology"
112;21100372152;"Journal of Behavioral and Experimental Economics";journal;"22148051, 22148043";0,704;Q2;77;131;320;7396;616;317;1,68;56,46;United States;Northern America;"Elsevier Inc.";"2014-2023";"Social Sciences (miscellaneous) (Q1); Applied Psychology (Q2); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
113;21100413715;"Sport, Exercise, and Performance Psychology";journal;"21573913, 21573905";0,704;Q2;34;17;117;1105;359;115;2,88;65,00;United States;Northern America;"American Psychological Association";"2013-2023";"Applied Psychology (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Social Psychology (Q2)";"Health Professions; Psychology"
114;21101042487;"European Journal of Investigation in Health, Psychology and Education";journal;"21748144, 22549625";0,703;Q2;23;199;328;11738;1143;319;3,57;58,98;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Developmental and Educational Psychology (Q2)";"Psychology"
115;5800207918;"International Journal of Listening";journal;"10904018, 1932586X";0,702;Q2;31;23;51;1164;137;49;1,84;50,61;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2023";"Communication (Q1); Linguistics and Language (Q1); Applied Psychology (Q2)";"Psychology; Social Sciences"
116;21101142419;"International Journal of Applied Positive Psychology";journal;"23645040, 23645059";0,687;Q2;13;63;47;4192;151;47;2,77;66,54;Netherlands;Western Europe;"Springer Nature";"2016, 2018-2023";"Social Sciences (miscellaneous) (Q1); Applied Psychology (Q2)";"Psychology; Social Sciences"
117;30091;"Journal of Sport and Exercise Psychology";journal;"08952779, 15432904";0,680;Q2;120;29;144;1428;329;144;1,99;49,24;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2023";"Applied Psychology (Q2); Sports Science (Q3)";"Health Professions; Psychology"
118;17700156745;"Psychology of Religion and Spirituality";journal;"19411022";0,680;Q2;49;15;213;833;499;213;2,19;55,53;United States;Northern America;"American Psychological Association";"2009-2023";"Religious Studies (Q1); Applied Psychology (Q2); Social Psychology (Q2)";"Arts and Humanities; Psychology"
119;22328;"Organizational Dynamics";journal;"00902616";0,675;Q2;74;35;144;17;446;141;3,85;0,49;United Kingdom;Western Europe;"Elsevier B.V.";"1972-1995, 1997-2023";"Sociology and Political Science (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Psychology; Social Sciences"
120;21101051829;"Psychology of Popular Media";journal;"26896575, 26896567";0,660;Q2;26;44;208;2220;660;202;2,53;50,45;United States;Northern America;"American Psychological Association";"2020-2023";"Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
121;12041;"Applied Psychophysiology Biofeedback";journal;"15733270, 10900586";0,652;Q2;75;39;103;1810;257;96;2,24;46,41;United States;Northern America;"Springer New York";"1997-2023";"Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)";"Psychology"
122;21100211334;"Journal of Cognitive Engineering and Decision Making";journal;"21695032, 15553434";0,643;Q2;40;20;43;1215;124;42;2,76;60,75;United States;Northern America;"SAGE Publications Inc.";"2007-2023";"Engineering (miscellaneous) (Q1); Applied Psychology (Q2); Computer Science Applications (Q2); Human Factors and Ergonomics (Q2)";"Computer Science; Engineering; Psychology; Social Sciences"
123;21100821132;"Decision";journal;"23259973, 23259965";0,638;Q2;23;22;76;1277;92;75;0,97;58,05;United States;Northern America;"American Psychological Association";"2014-2023";"Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Social Psychology (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Psychology"
124;21101113246;"Journal of Technology in Behavioral Science";journal;"23665963";0,638;Q2;19;97;159;4454;486;151;2,98;45,92;United States;Northern America;"Springer";"2016-2023";"Applied Psychology (Q2); Computer Science Applications (Q2); Health (social science) (Q2); Human-Computer Interaction (Q2)";"Computer Science; Psychology; Social Sciences"
125;12100155619;"Journal of Police and Criminal Psychology";journal;"19366469, 08820783";0,622;Q2;34;100;197;5562;434;195;2,24;55,62;Germany;Western Europe;"Springer Verlag";"1985-2023";"Law (Q1); Applied Psychology (Q2)";"Psychology; Social Sciences"
126;6500153248;"Victims and Offenders";journal;"15564886, 15564991";0,618;Q2;38;116;218;8303;524;212;2,09;71,58;United Kingdom;Western Europe;"Routledge";"2006-2023";"Law (Q1); Applied Psychology (Q2); Health (social science) (Q2); Pathology and Forensic Medicine (Q2)";"Medicine; Psychology; Social Sciences"
127;13194;"Career Development Quarterly";journal;"21610045, 08894019";0,616;Q2;61;23;79;1395;233;78;2,55;60,65;United States;Northern America;"Wiley-Blackwell";"1986-2023";"Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2)";"Business, Management and Accounting; Psychology"
128;29979;"Journal of Psychosocial Oncology";journal;"07347332, 15407586";0,615;Q2;52;81;176;2843;417;172;1,92;35,10;United States;Northern America;"Routledge";"1983-2023";"Applied Psychology (Q2); Oncology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
129;21100223527;"Journal of Clinical Sport Psychology";journal;"19329261, 1932927X";0,613;Q2;39;29;73;1512;154;69;1,96;52,14;United States;Northern America;"Human Kinetics Publishers Inc.";"2007-2023";"Applied Psychology (Q2)";"Psychology"
130;20321;"International Journal of Offender Therapy and Comparative Criminology";journal;"0306624X, 15526933";0,612;Q3;73;163;327;9022;713;322;2,07;55,35;United States;Northern America;"SAGE Publications Inc.";"1966-2023";"Arts and Humanities (miscellaneous) (Q1); Pathology and Forensic Medicine (Q2); Applied Psychology (Q3)";"Arts and Humanities; Medicine; Psychology"
131;21100375851;"Anuario de Psicologia Juridica";journal;"11330740, 21740542";0,599;Q3;14;15;39;859;92;39;2,41;57,27;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2013-2023";"Law (Q1); Pathology and Forensic Medicine (Q2); Applied Psychology (Q3)";"Medicine; Psychology; Social Sciences"
132;17700156742;"Journal of Media Psychology";journal;"18641105, 21512388";0,571;Q3;40;49;81;2325;160;75;1,68;47,45;Germany;Western Europe;"Hogrefe Publishing";"2008-2023";"Communication (Q2); Social Psychology (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
133;21100933316;"Journal for Person-Oriented Research";journal;"20030177, 20020244";0,568;Q3;7;7;22;472;40;21;0,93;67,43;Sweden;Western Europe;"Lundh Research Foundation";"2019-2023";"Psychology (miscellaneous) (Q2); Applied Psychology (Q3)";"Psychology"
134;14415;"Rehabilitation Counseling Bulletin";journal;"00343552, 15384853";0,562;Q3;45;46;84;2206;161;83;1,98;47,96;United States;Northern America;"SAGE Publications Inc.";"1994-2023";"Public Health, Environmental and Occupational Health (Q2); Rehabilitation (Q2); Applied Psychology (Q3)";"Medicine; Psychology"
135;5700169289;"Journal of Sexual Aggression";journal;"17426545, 13552600";0,561;Q3;43;46;89;3201;184;87;1,75;69,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994, 1996-1997, 1999-2023";"Psychology (miscellaneous) (Q2); Applied Psychology (Q3); Behavioral Neuroscience (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Neuroscience; Psychology"
136;12824;"Philosophical Psychology";journal;"09515089, 1465394X";0,554;Q3;54;159;207;9001;274;199;1,17;56,61;United Kingdom;Western Europe;"Routledge";"1988-2023";"Philosophy (Q1); Applied Psychology (Q3)";"Arts and Humanities; Psychology"
137;21101089656;"Translational Issues in Psychological Science";journal;"23322136, 23322179";0,545;Q3;6;27;46;1500;81;44;1,76;55,56;United States;Northern America;"American Psychological Association";"2022-2023";"Psychology (miscellaneous) (Q2); Applied Psychology (Q3)";"Psychology"
138;15281;"Sport Psychologist";journal;"15432793, 08884781";0,534;Q3;83;27;91;1369;196;91;1,95;50,70;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2023";"Applied Psychology (Q3); Sports Science (Q3)";"Health Professions; Psychology"
139;12062;"International Journal for the Advancement of Counselling";journal;"01650653, 15733246";0,526;Q3;35;41;104;2473;223;103;1,51;60,32;United States;Northern America;"Springer New York";"1978-1996, 1998-2023";"Education (Q2); Psychology (miscellaneous) (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
140;21100330714;"Journal of Sport Psychology in Action";journal;"21520712, 21520704";0,511;Q3;25;38;68;830;150;64;1,98;21,84;United States;Northern America;"Routledge";"2010-2023";"Applied Psychology (Q3); Human Factors and Ergonomics (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
141;21100887421;"Journal of Counselor Leadership and Advocacy";journal;"23267178";0,503;Q3;12;14;36;716;75;35;2,00;51,14;United States;Northern America;"Taylor and Francis Ltd.";"2014-2023";"Clinical Psychology (Q2); Education (Q2); Applied Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
142;17700156748;"Journal of Turkish Science Education";journal;"13046020";0,499;Q3;25;42;174;2587;328;174;1,66;61,60;Turkey;Middle East;"Ekip Buro Makineleri A.S.";"2009-2023";"Education (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
143;26941;"Theory and Decision";journal;"15737187, 00405833";0,499;Q3;46;73;155;2605;160;150;1,18;35,68;Netherlands;Western Europe;"Springer Netherlands";"1970-2023";"Arts and Humanities (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Developmental and Educational Psychology (Q3)";"Arts and Humanities; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Psychology; Social Sciences"
144;21100370349;"Journal of Criminal Psychology";journal;"20093829";0,469;Q3;16;42;50;2586;115;50;2,21;61,57;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2023";"Law (Q1); Applied Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
145;21101039082;"Scandinavian Journal of Work and Organizational Psychology";journal;"20022867";0,463;Q3;7;14;36;964;57;36;1,33;68,86;Sweden;Western Europe;"Stockholm University Press";"2019-2023";"Applied Psychology (Q3); Organizational Behavior and Human Resource Management (Q3); Psychology (miscellaneous) (Q3)";"Business, Management and Accounting; Psychology"
146;4700152751;"Journal of Workplace Behavioral Health";journal;"15555259, 15555240";0,454;Q3;23;31;57;1777;104;52;1,87;57,32;United States;Northern America;"Routledge";"2005-2023";"Applied Psychology (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Psychology"
147;21101091713;"European Journal for Qualitative Research in Psychotherapy";journal;"17567599";0,453;Q3;6;9;34;504;58;31;1,87;56,00;Ireland;Western Europe;"European Association for Integrative Psychotherapy";"2018-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q3)";"Psychology"
148;21100228016;"Ecopsychology";journal;"19429347";0,452;Q3;35;43;97;2548;189;93;2,22;59,26;United States;Northern America;"Mary Ann Liebert Inc.";"2009-2023";"Applied Psychology (Q3); Social Psychology (Q3)";"Psychology"
149;70451;"Consulting Psychology Journal";journal;"10659293";0,421;Q3;53;19;61;1361;85;58;1,16;71,63;United States;Northern America;"American Psychological Association";"1993-2023";"Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Psychology (miscellaneous) (Q3)";"Psychology"
150;15457;"Journal of Employment Counseling";journal;"21611920, 00220787";0,414;Q3;34;18;39;1235;87;39;2,15;68,61;United States;Northern America;"Wiley-Blackwell";"1964-2023";"Applied Psychology (Q3); Organizational Behavior and Human Resource Management (Q3); Psychology (miscellaneous) (Q3)";"Business, Management and Accounting; Psychology"
151;14121;"Revue Europeenne de Psychologie Appliquee";journal;"11629088";0,413;Q3;38;34;102;2403;169;99;1,57;70,68;France;Western Europe;"Elsevier Masson s.r.l.";"1998, 2004-2023";"Applied Psychology (Q3)";"Psychology"
152;21100899523;"International Journal of Aerospace Psychology";journal;"24721832, 24721840";0,412;Q3;52;23;58;1107;97;54;1,48;48,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2023";"Aerospace Engineering (Q2); Education (Q2); Applied Psychology (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Psychology; Social Sciences"
153;5600155528;"International Journal of Organization Theory and Behavior";journal;"10934537";0,406;Q3;13;17;52;1256;107;49;1,56;73,88;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2023";"Public Administration (Q2); Applied Psychology (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
154;21100211114;"Music Therapy Perspectives";journal;"07346875, 20537387";0,399;Q3;17;12;80;579;78;72;0,69;48,25;United States;Northern America;"Oxford University Press";"1983-1984, 1986-1987, 1990, 1992-1995, 2011-2022";"Music (Q1); Complementary and Alternative Medicine (Q2); Applied Psychology (Q3)";"Arts and Humanities; Medicine; Psychology"
155;21100469452;"Timing and Time Perception";journal;"2213445X, 22134468";0,398;Q3;19;27;80;622;96;79;1,20;23,04;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2023";"Applied Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Cognitive Neuroscience (Q4)";"Neuroscience; Psychology"
156;30019;"Journal of Organizational Behavior Management";journal;"01608061, 15408604";0,395;Q3;38;32;70;1395;176;45;2,39;43,59;United States;Northern America;"Routledge";"1977-1978, 1980-1985, 1987-1991, 1993-2023";"Applied Psychology (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Psychology"
157;11200153529;"Journal of Spirituality in Mental Health";journal;"19349645, 19349637";0,391;Q3;18;47;57;2389;79;57;1,49;50,83;United States;Northern America;"Routledge";"2006-2023";"Religious Studies (Q1); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Social Psychology (Q3)";"Arts and Humanities; Psychology; Social Sciences"
158;21100824878;"Clinical Practice in Pediatric Psychology";journal;"21694826, 21694834";0,388;Q3;24;30;147;1074;171;146;0,96;35,80;United States;Northern America;"American Psychological Association";"2013-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Developmental and Educational Psychology (Q3); Pediatrics, Perinatology and Child Health (Q3)";"Medicine; Psychology"
159;13277;"Families, Systems and Health";journal;"10917527, 19390602";0,386;Q3;55;73;289;1463;310;271;1,09;20,04;United States;Northern America;"American Psychological Association";"1996-2023";"Applied Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
160;10600153338;"Integrative Psychological and Behavioral Science";journal;"19324502, 19363567";0,380;Q3;42;96;186;6646;260;184;1,41;69,23;United States;Northern America;"Springer New York";"1969, 1976, 1991, 2007-2023";"Cultural Studies (Q1); Philosophy (Q1); Anthropology (Q2); Applied Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Social Psychology (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Neuroscience; Psychology; Social Sciences"
161;13164;"British Journal of Guidance and Counselling";journal;"03069885, 14693534";0,375;Q3;54;113;224;6723;334;215;1,39;59,50;United States;Northern America;"Routledge";"1973-2023";"Applied Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
162;21100915638;"Journal of Forensic Psychology Research and Practice";journal;"24732850, 24732842";0,366;Q3;26;51;75;2903;105;75;1,19;56,92;United Kingdom;Western Europe;"Routledge";"2017-2023";"Applied Psychology (Q3); Pathology and Forensic Medicine (Q3)";"Medicine; Psychology"
163;19900195028;"SA Journal of Industrial Psychology";journal;"20710763, 02585200";0,364;Q3;32;28;107;1794;192;107;1,71;64,07;South Africa;Africa;"AOSIS (Pty) Ltd";"2011-2023";"Applied Psychology (Q3); Social Psychology (Q3)";"Psychology"
164;21100469696;"Art and Perception";journal;"22134905, 22134913";0,362;Q3;12;9;47;522;43;46;0,93;58,00;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2023";"History (Q1); Visual Arts and Performing Arts (Q1); Applied Psychology (Q3)";"Arts and Humanities; Psychology"
165;4700152783;"Journal of Couple and Relationship Therapy";journal;"15332683, 15332691";0,359;Q3;28;18;58;844;75;56;1,18;46,89;United States;Northern America;"Routledge";"2002-2023";"Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
166;21100824968;"International Perspectives in Psychology: Research, Practice, Consultation";journal;"21573891, 21573883";0,356;Q3;12;23;63;1108;79;57;1,21;48,17;Germany;Western Europe;"Hogrefe-Verlag GmbH and Co. KG";"2017-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Social Psychology (Q3)";"Psychology"
167;30015;"Journal of Multicultural Counseling and Development";journal;"08838534";0,352;Q3;50;26;63;1189;83;59;1,14;45,73;United States;Northern America;"Wiley-Blackwell";"1985-2023";"Cultural Studies (Q1); Applied Psychology (Q3)";"Psychology; Social Sciences"
168;21101152882;"Psychological Test Adaptation and Development";journal;"26981866";0,351;Q3;5;31;30;1568;61;28;1,88;50,58;Germany;Western Europe;"Hogrefe Publishing GmbH";"2020-2022";"Applied Psychology (Q3); Psychology (miscellaneous) (Q3)";"Psychology"
169;21101093327;"Asian Journal of Sport and Exercise Psychology";journal;"26672391";0,348;Q3;6;33;48;1637;83;41;1,73;49,61;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Cognitive Neuroscience (Q4)";"Neuroscience; Psychology; Social Sciences"
170;19846;"International Journal of Sport Psychology";journal;"00470767";0,348;Q3;55;0;58;0;76;56;1,29;0,00;Italy;Western Europe;"Edizioni Luigi Pozzi S.r.l.";"1973-1974, 1996-2021";"Applied Psychology (Q3)";"Psychology"
171;12792;"Pastoral Psychology";journal;"15736679, 00312789";0,346;Q3;32;70;135;3425;129;132;1,08;48,93;United States;Northern America;"Springer New York";"1950-1972, 1975-2002, 2005-2023";"Religious Studies (Q1); Sociology and Political Science (Q2); Applied Psychology (Q3); Social Psychology (Q3)";"Arts and Humanities; Psychology; Social Sciences"
172;17500155123;"Journal of Imagery Research in Sport and Physical Activity";journal;"19320191";0,335;Q3;14;19;14;577;22;14;0,20;30,37;Germany;Western Europe;"Walter de Gruyter GmbH";"2009-2023";"Applied Psychology (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Sports Science (Q4)";"Health Professions; Psychology"
173;21101177511;"Journal of LGBTQ Issues in Counseling";journal;"26924951, 2692496X";0,335;Q3;33;27;77;1097;73;64;0,79;40,63;United States;Northern America;"Taylor &amp; Francis Inc.";"2021-2023";"Gender Studies (Q2); Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
174;21100842323;"Journal of Trust Research";journal;"2151559X, 21515581";0,331;Q3;24;13;26;1195;46;23;1,76;91,92;United States;Northern America;"Routledge";"2011-2023";"Sociology and Political Science (Q2); Applied Psychology (Q3); Business, Management and Accounting (miscellaneous) (Q3); Social Psychology (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
175;15909;"Zeitschrift fur Arbeits- und Organisationspsychologie";journal;"09324089, 21906270";0,329;Q3;20;15;61;780;75;56;1,05;52,00;Germany;Western Europe;"Hogrefe Publishing";"2002-2023";"Applied Psychology (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Psychology"
176;21100860383;"Cultural-Historical Psychology";journal;"22248935, 18165435";0,327;Q3;10;50;146;1382;143;145;0,67;27,64;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2018-2023";"Cultural Studies (Q1); Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
177;4700152737;"Journal of Applied School Psychology";journal;"15377903, 15377911";0,321;Q3;34;26;55;1327;68;54;1,15;51,04;United States;Northern America;"Routledge";"2002-2023";"Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Education (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
178;21100854898;"NeuroRegulation";journal;"23730587";0,318;Q3;12;21;52;966;72;51;1,82;46,00;United States;Northern America;"International Society for Neurofeedback &amp; Research";"2014-2023";"Applied Psychology (Q3); Neurology (clinical) (Q3); Neuropsychology and Physiological Psychology (Q3); Physiology (medical) (Q3); Psychiatry and Mental Health (Q3); Behavioral Neuroscience (Q4); Biological Psychiatry (Q4); Experimental and Cognitive Psychology (Q4)";"Medicine; Neuroscience; Psychology"
179;19987;"Zeitschrift fur Psychosomatische Medizin und Psychotherapie";journal;"14383608";0,313;Q3;31;38;128;595;68;107;0,39;15,66;Germany;Western Europe;"Vandenhoeck and Ruprecht GmbH and Co. KG";"1996-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
180;21100775661;"Physical Culture and Sport, Studies and Research";journal;"20812221, 18994849";0,309;Q3;11;36;81;2422;118;81;1,27;67,28;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2023";"Cultural Studies (Q1); Applied Psychology (Q3); Education (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
